OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
110.0,2015.0,1962.0,1.0,2.0,49680.0,0.0,50.6,2632472.0,1145000.0,0.0,1.84,96.39,1.84,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62393635,-122.35193
111.0,2015.0,1928.0,1.0,1.0,60696.0,0.0,8.6,924980.0,0.0,0.0,0.04,6.45,0.04,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699
112.0,2015.0,1928.0,1.0,2.0,262048.0,0.0,70.4,20828130.0,3900000.0,0.0,1.29,398.51,1.29,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699
113.0,2015.0,1986.0,1.0,2.0,66240.0,2352.0,77.8,4329966.0,0.0,0.0,0.17,30.19,0.17,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.623925,-122.3483417
114.0,2015.0,2010.0,1.0,6.0,920598.0,303707.0,49.9,36681188.0,0.0,8199352.0,0.56,634.03,0.56,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62334946,-122.344706
115.0,2015.0,1970.0,1.0,4.0,76213.0,25930.0,64.8,3303553.0,0.0,494199.0,0.44,45.83,0.44,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62038448,-122.3584269
116.0,2015.0,2002.0,1.0,6.0,117738.0,36934.0,84.4,5061274.0,0.0,2240976.0,1.07,138.68,1.07,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62294488,-122.3571048
117.0,2015.0,1962.0,1.0,4.0,50017.0,0.0,111.4,5570472.0,0.0,3413811.0,3.74,196.34,3.74,NonResidential,Hotel,4,NORTHEAST,47.65774638,-122.3175345
118.0,2015.0,1999.0,1.0,3.0,74468.0,0.0,24.9,1857329.0,0.0,265600.0,0.25,25.2,0.25,SPS-District K-12,K-12 School,1,DELRIDGE,47.56261299,-122.3579283
119.0,2015.0,1923.0,1.0,3.0,67743.0,0.0,34.0,2303288.0,0.0,1037984.0,0.86,63.95,0.86,NonResidential,K-12 School,3,EAST,47.6262348,-122.3081985
120.0,2015.0,1908.0,1.0,6.0,194104.0,0.0,30.3,5889882.0,0.0,4094613.0,1.15,229.98,1.15,NonResidential,K-12 School,3,EAST,47.62595722,-122.304164
121.0,2015.0,2003.0,1.0,3.0,99433.0,35752.0,69.7,4439034.0,0.0,0.0,0.12,30.95,0.12,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,47.58406769,-122.3012707
122.0,2015.0,1991.0,1.0,2.0,58933.0,0.0,35.4,2150120.0,0.0,0.0,0.1,14.99,0.1,SPS-District K-12,K-12 School,2,SOUTHEAST,47.57334571,-122.2906221
125.0,2015.0,1957.0,1.0,1.0,130862.0,0.0,44.7,5851209.0,0.0,3699700.0,1.55,211.49,1.55,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.56301254,-122.3112112
127.0,2015.0,1989.0,1.0,3.0,59955.0,0.0,25.4,1521329.0,0.0,97300.0,0.15,15.1,0.15,SPS-District K-12,K-12 School,2,SOUTHEAST,47.55446464,-122.2764003
130.0,2015.0,1964.0,1.0,2.0,93218.0,0.0,33.0,3072599.0,0.0,1646400.0,0.98,97.38,0.98,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.6367344,-122.3589452
131.0,2015.0,1941.0,1.0,4.0,56521.0,0.0,131.5,6443260.0,0.0,0.0,0.3,44.92,0.3,NonResidential,Other,4,NORTHEAST,47.6753048,-122.315342
132.0,2015.0,1929.0,1.0,2.0,206934.0,0.0,37.4,4461969.0,0.0,2343703.0,0.63,139.24,0.63,NonResidential,Other,4,NORTHEAST,47.6756688,-122.3161909
136.0,2015.0,2001.0,1.0,4.0,51390.0,0.0,75.2,3864699.0,0.0,2425903.0,2.58,138.87,2.58,NonResidential,Hotel,5,NORTHWEST,47.73127184,-122.3462382
137.0,2015.0,1963.0,1.0,2.0,131013.0,0.0,29.9,3939221.0,0.0,2168700.0,0.92,127.52,0.92,SPS-District K-12,K-12 School,5,NORTHWEST,47.72465187,-122.3539331
138.0,2015.0,1959.0,1.0,1.0,245587.0,0.0,42.5,10444297.0,0.0,6594800.0,1.47,377.09,1.47,SPS-District K-12,K-12 School,5,NORTHWEST,47.72595704,-122.3375948
139.0,2015.0,2002.0,1.0,3.0,69138.0,0.0,46.7,3298570.0,0.0,1417657.0,1.16,88.4,1.16,NonResidential,Hotel,5,NORTHWEST,47.72527664,-122.3410974
140.0,2015.0,1991.0,1.0,3.0,66588.0,0.0,30.5,2033074.0,0.0,0.0,0.08,14.17,0.08,SPS-District K-12,K-12 School,6,LAKE UNION,47.65474724,-122.3490987
144.0,2015.0,1904.0,1.0,5.0,190980.0,0.0,36.3,6935723.0,0.0,2208135.0,0.68,150.23,0.68,NonResidential,Hotel,7,DOWNTOWN,47.60477066,-122.33677673
145.0,2015.0,1998.0,1.0,6.0,284100.0,0.0,74.7,14169301.0,3123280.0,436649.0,1.03,338.23,1.03,Nonresidential COS,Other,7,DOWNTOWN,47.60810553,-122.3369663
147.0,2015.0,1954.0,1.0,5.0,285333.0,0.0,209.4,63362516.0,0.0,31051872.0,6.08,1874.42,6.08,NonResidential,Hospital,6,BALLARD,47.66742706,-122.37961578
148.0,2015.0,1991.0,1.0,2.0,55513.0,0.0,28.1,1612965.0,0.0,0.0,0.08,11.24,0.08,SPS-District K-12,K-12 School,6,BALLARD,47.67031559,-122.3622592
163.0,2015.0,2006.0,1.0,4.0,61156.0,0.0,145.0,10434387.0,0.0,3211996.0,3.1,220.94,3.1,Nonresidential COS,Other,2,DOWNTOWN,47.60158047,-122.32771508
167.0,2015.0,1910.0,1.0,4.0,72820.0,0.0,35.8,2076630.0,0.0,617890.0,0.5,42.99,0.5,NonResidential,Other,2,DOWNTOWN,47.59809588,-122.3228283
168.0,2015.0,1996.0,1.0,4.0,162222.0,14200.0,68.2,7753080.0,0.0,3337341.0,1.17,208.03,1.17,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62557152,-122.347197
169.0,2015.0,1990.0,1.0,4.0,289588.0,0.0,30.2,8747819.0,0.0,2621300.0,0.54,181.93,0.54,SPS-District K-12,K-12 School,2,SOUTHEAST,47.57604857,-122.2928463
170.0,2015.0,1915.0,1.0,3.0,63330.0,0.0,42.5,2755578.0,0.0,891682.0,0.83,60.35,0.83,NonResidential,College/University,3,EAST,47.61496242,-122.3217405
172.0,2015.0,1970.0,1.0,2.0,441071.0,0.0,77.5,37430780.0,0.0,12545788.0,1.66,839.79,1.66,Campus,College/University,1,DELRIDGE,47.54550494,-122.3500523
173.0,2015.0,2002.0,1.0,2.0,96300.0,0.0,167.0,16238985.0,0.0,2404032.0,1.71,224.13,1.71,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.67843749,-122.2641702
174.0,2015.0,1950.0,1.0,1.0,67356.0,0.0,96.2,6577130.0,0.0,3586522.0,2.95,211.33,2.95,Nonresidential COS,Other,2,GREATER DUWAMISH,47.59455098,-122.3218127
175.0,2015.0,2008.0,1.0,3.0,254523.0,0.0,53.5,13609040.0,0.0,5889500.0,1.31,366.61,1.31,SPS-District K-12,K-12 School,3,CENTRAL,47.60502046,-122.3018326
176.0,2015.0,2001.0,1.0,3.0,78804.0,0.0,31.1,2447651.0,0.0,788600.0,0.59,53.45,0.59,SPS-District K-12,K-12 School,2,SOUTHEAST,47.51466446,-122.2588187
177.0,2015.0,2002.0,1.0,3.0,66994.0,0.0,33.8,2266570.0,0.0,509100.0,0.47,39.29,0.47,SPS-District K-12,K-12 School,3,CENTRAL,47.61229388,-122.2908219
178.0,2015.0,2000.0,1.0,3.0,98357.0,0.0,33.2,3265995.0,0.0,1295800.0,0.75,82.55,0.75,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.52933502,-122.28844452
179.0,2015.0,1958.0,1.0,1.0,54765.0,0.0,85.0,4316654.0,0.0,639837.0,0.8,59.61,0.8,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53830025,-122.2840532
180.0,2015.0,2009.0,1.0,5.0,89821.0,0.0,22.7,2017694.0,0.0,1952816.0,1.16,104.17,1.16,NonResidential,Other,2,GREATER DUWAMISH,47.53830025,-122.2840532
182.0,2015.0,1980.0,1.0,2.0,52611.0,0.0,83.6,4399828.0,0.0,1617832.0,1.77,105.32,1.77,NonResidential,College/University,7,MAGNOLIA / QUEEN ANNE,47.65153666,-122.3615464
183.0,2015.0,2001.0,1.0,4.0,139600.0,37500.0,32.6,4418055.0,0.0,1998821.0,0.81,123.02,0.81,NonResidential,Residence Hall/Dormitory,7,MAGNOLIA / QUEEN ANNE,47.65076266,-122.3638034
185.0,2015.0,2011.0,1.0,2.0,236758.0,0.0,34.0,8050977.0,0.0,3182614.0,0.77,202.97,0.77,SPS-District K-12,K-12 School,5,NORTH,47.70783561,-122.294626
